date,product_id,product_name,category,quantity_sold,unit_price,revenue,stock_level,promotion,day_of_week,month,year
2021-01-01,P001,Wireless Mouse,Electronics,20,29.99,599.8,128,0,Friday,1,2021
2021-01-01,P002,USB-C Cable,Electronics,59,10.39,613.13,206,1,Friday,1,2021
2021-01-01,P003,Notebook A5,Stationery,64,5.99,383.36,239,0,Friday,1,2021
2021-01-01,P004,Ballpoint Pen Pack,Stationery,89,3.99,355.11,328,0,Friday,1,2021
2021-01-01,P005,Desk Lamp,Furniture,30,36.79,1103.76,54,1,Friday,1,2021
2021-01-01,P006,Hand Sanitizer,Health,116,4.99,578.84,391,0,Friday,1,2021
2021-01-01,P007,Water Bottle,Lifestyle,15,15.99,239.85,167,0,Friday,1,2021
2021-01-01,P008,Phone Case,Electronics,27,19.99,539.73,139,0,Friday,1,2021
2021-01-01,P009,Sticky Notes,Stationery,74,2.99,221.26,275,0,Friday,1,2021
2021-01-01,P010,Coffee Mug,Lifestyle,24,9.99,239.76,82,0,Friday,1,2021
2021-01-02,P001,Wireless Mouse,Electronics,28,29.99,839.72,118,0,Saturday,1,2021
2021-01-02,P002,USB-C Cable,Electronics,50,12.99,649.5,219,0,Saturday,1,2021
2021-01-02,P003,Notebook A5,Stationery,79,5.99,473.21,204,0,Saturday,1,2021
2021-01-02,P004,Ballpoint Pen Pack,Stationery,112,3.99,446.88,285,0,Saturday,1,2021
2021-01-02,P005,Desk Lamp,Furniture,23,45.99,1057.77,44,0,Saturday,1,2021
2021-01-02,P006,Hand Sanitizer,Health,136,4.99,678.64,383,0,Saturday,1,2021
2021-01-02,P007,Water Bottle,Lifestyle,21,15.99,335.79,182,0,Saturday,1,2021
2021-01-02,P008,Phone Case,Electronics,40,19.99,799.6,148,0,Saturday,1,2021
2021-01-02,P009,Sticky Notes,Stationery,96,2.99,287.04,257,0,Saturday,1,2021
2021-01-02,P010,Coffee Mug,Lifestyle,48,7.99,383.62,59,1,Saturday,1,2021
2021-01-03,P001,Wireless Mouse,Electronics,25,29.99,749.75,111,0,Sunday,1,2021
2021-01-03,P002,USB-C Cable,Electronics,44,12.99,571.56,197,0,Sunday,1,2021
2021-01-03,P003,Notebook A5,Stationery,77,5.99,461.23,226,0,Sunday,1,2021
2021-01-03,P004,Ballpoint Pen Pack,Stationery,102,3.99,406.98,317,0,Sunday,1,2021
2021-01-03,P005,Desk Lamp,Furniture,17,45.99,781.83,56,0,Sunday,1,2021
2021-01-03,P006,Hand Sanitizer,Health,133,4.99,663.67,351,0,Sunday,1,2021
2021-01-03,P007,Water Bottle,Lifestyle,18,15.99,287.82,170,0,Sunday,1,2021
2021-01-03,P008,Phone Case,Electronics,37,19.99,739.63,148,0,Sunday,1,2021
2021-01-03,P009,Sticky Notes,Stationery,131,2.39,313.35,230,1,Sunday,1,2021
2021-01-03,P010,Coffee Mug,Lifestyle,29,9.99,289.71,107,0,Sunday,1,2021
2021-01-04,P001,Wireless Mouse,Electronics,16,29.99,479.84,149,0,Monday,1,2021
2021-01-04,P002,USB-C Cable,Electronics,19,12.99,246.81,217,0,Monday,1,2021
2021-01-04,P003,Notebook A5,Stationery,39,5.99,233.61,246,0,Monday,1,2021
2021-01-04,P004,Ballpoint Pen Pack,Stationery,56,3.99,223.44,343,0,Monday,1,2021
2021-01-04,P005,Desk Lamp,Furniture,11,45.99,505.89,76,0,Monday,1,2021
2021-01-04,P006,Hand Sanitizer,Health,60,4.99,299.4,452,0,Monday,1,2021
2021-01-04,P007,Water Bottle,Lifestyle,5,15.99,79.95,180,0,Monday,1,2021
2021-01-04,P008,Phone Case,Electronics,13,19.99,259.87,155,0,Monday,1,2021
2021-01-04,P009,Sticky Notes,Stationery,37,2.99,110.63,316,0,Monday,1,2021
2021-01-04,P010,Coffee Mug,Lifestyle,16,9.99,159.84,115,0,Monday,1,2021
2021-01-05,P001,Wireless Mouse,Electronics,13,29.99,389.87,128,0,Tuesday,1,2021
2021-01-05,P002,USB-C Cable,Electronics,30,12.99,389.7,201,0,Tuesday,1,2021
2021-01-05,P003,Notebook A5,Stationery,41,5.99,245.59,270,0,Tuesday,1,2021
2021-01-05,P004,Ballpoint Pen Pack,Stationery,57,3.99,227.43,341,0,Tuesday,1,2021
2021-01-05,P005,Desk Lamp,Furniture,8,45.99,367.92,57,0,Tuesday,1,2021
2021-01-05,P006,Hand Sanitizer,Health,80,4.99,399.2,403,0,Tuesday,1,2021
2021-01-05,P007,Water Bottle,Lifestyle,18,12.79,230.26,166,1,Tuesday,1,2021
2021-01-05,P008,Phone Case,Electronics,16,19.99,319.84,149,0,Tuesday,1,2021
2021-01-05,P009,Sticky Notes,Stationery,53,2.99,158.47,285,0,Tuesday,1,2021
2021-01-05,P010,Coffee Mug,Lifestyle,18,9.99,179.82,87,0,Tuesday,1,2021
2021-01-06,P001,Wireless Mouse,Electronics,14,29.99,419.86,151,0,Wednesday,1,2021
2021-01-06,P002,USB-C Cable,Electronics,42,10.39,436.46,206,1,Wednesday,1,2021
2021-01-06,P003,Notebook A5,Stationery,44,5.99,263.56,275,0,Wednesday,1,2021
2021-01-06,P004,Ballpoint Pen Pack,Stationery,42,3.99,167.58,365,0,Wednesday,1,2021
2021-01-06,P005,Desk Lamp,Furniture,11,45.99,505.89,83,0,Wednesday,1,2021
2021-01-06,P006,Hand Sanitizer,Health,58,4.99,289.42,437,0,Wednesday,1,2021
2021-01-06,P007,Water Bottle,Lifestyle,15,15.99,239.85,166,0,Wednesday,1,2021
2021-01-06,P008,Phone Case,Electronics,25,19.99,499.75,146,0,Wednesday,1,2021
2021-01-06,P009,Sticky Notes,Stationery,49,2.99,146.51,315,0,Wednesday,1,2021
2021-01-06,P010,Coffee Mug,Lifestyle,17,9.99,169.83,98,0,Wednesday,1,2021
2021-01-07,P001,Wireless Mouse,Electronics,16,29.99,479.84,137,0,Thursday,1,2021
2021-01-07,P002,USB-C Cable,Electronics,26,12.99,337.74,211,0,Thursday,1,2021
2021-01-07,P003,Notebook A5,Stationery,46,5.99,275.54,258,0,Thursday,1,2021
2021-01-07,P004,Ballpoint Pen Pack,Stationery,67,3.99,267.33,341,0,Thursday,1,2021
2021-01-07,P005,Desk Lamp,Furniture,11,45.99,505.89,83,0,Thursday,1,2021
2021-01-07,P006,Hand Sanitizer,Health,54,4.99,269.46,461,0,Thursday,1,2021
2021-01-07,P007,Water Bottle,Lifestyle,8,15.99,127.92,191,0,Thursday,1,2021
2021-01-07,P008,Phone Case,Electronics,15,19.99,299.85,152,0,Thursday,1,2021
2021-01-07,P009,Sticky Notes,Stationery,54,2.99,161.46,287,0,Thursday,1,2021
2021-01-07,P010,Coffee Mug,Lifestyle,20,9.99,199.8,101,0,Thursday,1,2021
2021-01-08,P001,Wireless Mouse,Electronics,17,29.99,509.83,139,0,Friday,1,2021
2021-01-08,P002,USB-C Cable,Electronics,24,12.99,311.76,226,0,Friday,1,2021
2021-01-08,P003,Notebook A5,Stationery,41,5.99,245.59,243,0,Friday,1,2021
2021-01-08,P004,Ballpoint Pen Pack,Stationery,72,3.99,287.28,326,0,Friday,1,2021
2021-01-08,P005,Desk Lamp,Furniture,11,45.99,505.89,54,0,Friday,1,2021
2021-01-08,P006,Hand Sanitizer,Health,70,4.99,349.3,446,0,Friday,1,2021
2021-01-08,P007,Water Bottle,Lifestyle,12,15.99,191.88,202,0,Friday,1,2021
2021-01-08,P008,Phone Case,Electronics,18,19.99,359.82,162,0,Friday,1,2021
2021-01-08,P009,Sticky Notes,Stationery,48,2.99,143.52,299,0,Friday,1,2021
2021-01-08,P010,Coffee Mug,Lifestyle,13,9.99,129.87,117,0,Friday,1,2021
2021-01-09,P001,Wireless Mouse,Electronics,21,29.99,629.79,131,0,Saturday,1,2021
2021-01-09,P002,USB-C Cable,Electronics,28,12.99,363.72,228,0,Saturday,1,2021
